Product Item,Used Across Occasions,Used Across Events
Anniversary Banner,Anniversary Hampers,Celebration Add-ons
Aroma Candle,Anniversary Hampers,Romantic
Aroma Diffuser,Baby Shower Hampers,Mom-to-Be
Artificial Flowers,Anniversary Hampers,Romantic
Assorted Chocolates,"Birthday Hampers, Corporate Gifting, Festivals","Christmas, Client Oriented, General"
Assorted Mithai,Festivals,Diwali
Baby Activity Toy,Baby Shower Hampers,Baby
Baby Bath Set,Baby Shower Hampers,Baby
Baby Bibs,Baby Shower Hampers,Baby
Baby Blanket,Baby Shower Hampers,Baby
Baby Book,Baby Shower Hampers,"Baby, Mom + Baby"
Baby Caps,Baby Shower Hampers,Baby
Baby Grooming Kit,Baby Shower Hampers,Baby
Baby Memory Book,Baby Shower Hampers,Baby
Baby Mittens,Baby Shower Hampers,Baby
Baby Name Card,Baby Shower Hampers,Mom + Baby
Baby Onesies,Baby Shower Hampers,Baby
Baby Photo Frame,Baby Shower Hampers,Baby
Baby Rompers,Baby Shower Hampers,Baby
Baby Socks,Baby Shower Hampers,"Baby, Mom + Baby"
Baby T-Shirts,Baby Shower Hampers,Baby
Baby Towel,Baby Shower Hampers,"Baby, Mom + Baby"
Baby Washcloths,Baby Shower Hampers,Baby
Balloons,"Anniversary Hampers, Birthday Hampers","Celebration Add-ons, General"
Bandhani Potli,Festivals,Navratri
Bangles,"Festivals, Wedding Hampers","Bridesmaid Hampers, Mehendi, Navratri"
Bath Bomb,"Baby Shower Hampers, Birthday Hampers, Wedding Hampers","Brides Personal Hamper, General, Mom-to-Be"
Bath Salts,"Baby Shower Hampers, Wedding Hampers","Brides Personal Hamper, Mom-to-Be"
Beard Comb,"Birthday Hampers, Wedding Hampers","Grooms Personal Hamper, Male"
Beard Grooming Kit,Wedding Hampers,"Grooms Personal Hamper, Groomsmen Hampers"
Beard Oil,"Birthday Hampers, Wedding Hampers","Grooms Personal Hamper, Male"
